Run,spots,bases,avgLength,size_MB,download_path,Platform,BioProject,ProjectID,BioSample,ScientificName
SRR2062015,81741,172265473,2107,665,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/062/SRR2062015/SRR2062015.lite.1,PACBIO_SMRT,PRJNA286129,286129,SAMN03765200,Xanthomonas oryzae pv. oryzae
SRR2062016,81741,590511486,7224,2088,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/062/SRR2062016/SRR2062016.lite.1,PACBIO_SMRT,PRJNA286129,286129,SAMN03765200,Xanthomonas oryzae pv. oryzae
SRR2062004,81741,120903490,1479,478,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/062/SRR2062004/SRR2062004.lite.1,PACBIO_SMRT,PRJNA286129,286129,SAMN03765201,Xanthomonas oryzae pv. oryzae
SRR2062008,81741,105343368,1288,417,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/062/SRR2062008/SRR2062008.lite.1,PACBIO_SMRT,PRJNA286129,286129,SAMN03765201,Xanthomonas oryzae pv. oryzae
SRR2062009,81741,755854759,9246,2644,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/062/SRR2062009/SRR2062009.lite.1,PACBIO_SMRT,PRJNA286129,286129,SAMN03765201,Xanthomonas oryzae pv. oryzae
SRR2062010,81741,675864949,8268,2403,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/062/SRR2062010/SRR2062010.lite.1,PACBIO_SMRT,PRJNA286129,286129,SAMN03765201,Xanthomonas oryzae pv. oryzae
SRR2062011,81741,559312565,6842,1997,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/062/SRR2062011/SRR2062011.lite.1,PACBIO_SMRT,PRJNA286129,286129,SAMN03765201,Xanthomonas oryzae pv. oryzae
SRR2062012,81741,634519174,7762,2253,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/062/SRR2062012/SRR2062012.lite.1,PACBIO_SMRT,PRJNA286129,286129,SAMN03765201,Xanthomonas oryzae pv. oryzae
SRR5319797,3197005,20653524306,6460,4977,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/319/SRR5319797/SRR5319797.lite.1,PACBIO_SMRT,PRJNA378144,378144,SAMN06480557,Xanthomonas oryzae pv. oryzae
SRR5989134,163482,2291174218,14014,7578,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR005/5989/SRR5989134/SRR5989134.lite.1,PACBIO_SMRT,PRJNA330733,330733,SAMN05717683,Xanthomonas oryzae pv. oryzae
SRR5990719,163482,2545626880,15571,8505,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR005/5990/SRR5990719/SRR5990719.lite.1,PACBIO_SMRT,PRJNA363079,363079,SAMN06255990,Xanthomonas oryzae pv. oryzae
SRR5990720,163482,107818025,659,486,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR005/5990/SRR5990720/SRR5990720.lite.1,PACBIO_SMRT,PRJNA363079,363079,SAMN06255990,Xanthomonas oryzae pv. oryzae
SRR5990721,163482,1138242883,6962,4024,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR005/5990/SRR5990721/SRR5990721.lite.1,PACBIO_SMRT,PRJNA363079,363079,SAMN06255990,Xanthomonas oryzae pv. oryzae
SRR6411266,163482,2644242997,16174,8597,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/411/SRR6411266/SRR6411266.lite.1,PACBIO_SMRT,PRJNA427174,427174,SAMN08225245,Xanthomonas oryzae pv. oryzae
SRR6411265,163482,2107285642,12890,7007,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/411/SRR6411265/SRR6411265.lite.1,PACBIO_SMRT,PRJNA427174,427174,SAMN08225246,Xanthomonas oryzae pv. oryzae
SRR8476690,86354,822952770,9529,531,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR008/8476/SRR8476690/SRR8476690.lite.1,PACBIO_SMRT,PRJNA515793,515793,SAMN10768777,Xanthomonas oryzae pv. oryzae
SRR8476685,72582,571501579,7873,376,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/8476/SRR8476685/SRR8476685.lite.1,PACBIO_SMRT,PRJNA515793,515793,SAMN10768786,Xanthomonas oryzae pv. oryzae
SRR8476689,87983,827161864,9401,540,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR008/8476/SRR8476689/SRR8476689.lite.1,PACBIO_SMRT,PRJNA515793,515793,SAMN10768778,Xanthomonas oryzae pv. oryzae
SRR8476688,116084,875045086,7538,577,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR008/8476/SRR8476688/SRR8476688.lite.1,PACBIO_SMRT,PRJNA515793,515793,SAMN10768779,Xanthomonas oryzae pv. oryzae
SRR8476687,95817,757868358,7909,500,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR008/8476/SRR8476687/SRR8476687.lite.1,PACBIO_SMRT,PRJNA515793,515793,SAMN10768780,Xanthomonas oryzae pv. oryzae
SRR8476694,88981,893071923,10036,581,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/8476/SRR8476694/SRR8476694.lite.1,PACBIO_SMRT,PRJNA515793,515793,SAMN10768781,Xanthomonas oryzae pv. oryzae
SRR8476693,48069,248342356,5166,164,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/8476/SRR8476693/SRR8476693.lite.1,PACBIO_SMRT,PRJNA515793,515793,SAMN10768782,Xanthomonas oryzae pv. oryzae
SRR8476692,58538,615167344,10508,400,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR008/8476/SRR8476692/SRR8476692.lite.1,PACBIO_SMRT,PRJNA515793,515793,SAMN10768783,Xanthomonas oryzae pv. oryzae
SRR8476691,75424,797923170,10579,516,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR008/8476/SRR8476691/SRR8476691.lite.1,PACBIO_SMRT,PRJNA515793,515793,SAMN10768784,Xanthomonas oryzae pv. oryzae
SRR8476686,87272,899571357,10307,588,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/8476/SRR8476686/SRR8476686.lite.1,PACBIO_SMRT,PRJNA515793,515793,SAMN10768785,Xanthomonas oryzae pv. oryzae
SRR8789030,163482,2915962806,17836,9369,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/789/SRR8789030/SRR8789030.lite.1,PACBIO_SMRT,PRJNA497307,497307,SAMN10960778,Xanthomonas oryzae pv. oryzae
SRR8789029,163482,1958984412,11982,6428,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/789/SRR8789029/SRR8789029.lite.1,PACBIO_SMRT,PRJNA497307,497307,SAMN10960779,Xanthomonas oryzae pv. oryzae
SRR8789032,163482,2410266777,14743,7719,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/8789/SRR8789032/SRR8789032.lite.1,PACBIO_SMRT,PRJNA497307,497307,SAMN10960780,Xanthomonas oryzae pv. oryzae
SRR8789031,163482,3526071281,21568,11223,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/8789/SRR8789031/SRR8789031.lite.1,PACBIO_SMRT,PRJNA497307,497307,SAMN10960781,Xanthomonas oryzae pv. oryzae
SRR8789033,163482,2820187792,17250,9070,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/789/SRR8789033/SRR8789033.lite.1,PACBIO_SMRT,PRJNA497307,497307,SAMN10960782,Xanthomonas oryzae pv. oryzae
SRR8848105,163482,1996400860,12211,6775,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/848/SRR8848105/SRR8848105.lite.1,PACBIO_SMRT,PRJNA497605,497605,SAMN10261811,Xanthomonas oryzae pv. oryzae
SRR8848098,490446,8110299390,16536,26680,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/8848/SRR8848098/SRR8848098.lite.1,PACBIO_SMRT,PRJNA497605,497605,SAMN10261812,Xanthomonas oryzae pv. oryzae
SRR8848099,490446,2392435261,4878,8525,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/8848/SRR8848099/SRR8848099.lite.1,PACBIO_SMRT,PRJNA497605,497605,SAMN10261813,Xanthomonas oryzae pv. oryzae
SRR8848104,326964,1146640319,3506,4343,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR008/8848/SRR8848104/SRR8848104.lite.1,PACBIO_SMRT,PRJNA497605,497605,SAMN10261815,Xanthomonas oryzae pv. oryzae
SRR8848096,490446,5289012649,10784,17590,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/8848/SRR8848096/SRR8848096.lite.1,PACBIO_SMRT,PRJNA497605,497605,SAMN10261817,Xanthomonas oryzae pv. oryzae
SRR8848097,326964,2277624665,6965,7953,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/8848/SRR8848097/SRR8848097.lite.1,PACBIO_SMRT,PRJNA497605,497605,SAMN10261819,Xanthomonas oryzae pv. oryzae
SRR8848102,326964,1759618060,5381,6330,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/8848/SRR8848102/SRR8848102.lite.1,PACBIO_SMRT,PRJNA497605,497605,SAMN10261820,Xanthomonas oryzae pv. oryzae
SRR8848103,326964,1663529882,5087,6000,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/848/SRR8848103/SRR8848103.lite.1,PACBIO_SMRT,PRJNA497605,497605,SAMN10261821,Xanthomonas oryzae pv. oryzae
SRR8848101,326964,1218306611,3726,4450,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/848/SRR8848101/SRR8848101.lite.1,PACBIO_SMRT,PRJNA497605,497605,SAMN10261822,Xanthomonas oryzae pv. oryzae
SRR8848100,272470,1839798163,6752,6405,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/848/SRR8848100/SRR8848100.lite.1,PACBIO_SMRT,PRJNA497605,497605,SAMN10261824,Xanthomonas oryzae pv. oryzae
SRR11816521,72102,423861003,5878,368,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR011/11816/SRR11816521/SRR11816521.lite.1,OXFORD_NANOPORE,PRJNA633990,633990,SAMN14979199,Xanthomonas oryzae
SRR11816522,68245,310108161,4544,269,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR011/816/SRR11816522/SRR11816522.lite.1,OXFORD_NANOPORE,PRJNA633990,633990,SAMN14979207,Xanthomonas oryzae
SRR11816520,255279,917694787,3594,799,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR011/816/SRR11816520/SRR11816520.lite.1,OXFORD_NANOPORE,PRJNA633990,633990,SAMN14979200,Xanthomonas oryzae
